0.0000	0.0000
0.3142	0.9510
0.6283	0.5878
0.9425	-0.5877
1.2566	-0.9511
1.5708	-0.0002
1.8849	0.9510
2.1991	0.5880
2.5132	-0.5875
2.8274	-0.9512
3.1415	-0.0004
3.4557	0.9509
3.7698	0.5881
4.0840	-0.5874
4.3981	-0.9512
4.7123	-0.0006
5.0264	0.9509
5.3406	0.5883
5.6547	-0.5872
5.9689	-0.9513
6.2830	-0.0007
6.5972	0.9508
6.9113	0.5884
7.2255	-0.5871
7.5396	-0.9513
7.8538	-0.0009
8.1679	0.9508
8.4821	0.5886
8.7962	-0.5869
9.1104	-0.9514
9.4245	-0.0011
9.7386	0.9507
10.0528	0.5887
10.3670	-0.5868
10.6811	-0.9514
10.9953	-0.0013
11.3094	0.9506
11.6236	0.5889
11.9377	-0.5866
12.2519	-0.9515
12.5660	-0.0015
12.8802	0.9506
13.1943	0.5890
13.5085	-0.5865
13.8226	-0.9516
14.1368	-0.0017
14.4509	0.9505
14.7651	0.5892
15.0792	-0.5863
15.3934	-0.9516
15.7075	-0.0019
16.0217	0.9505
16.3358	0.5893
16.6500	-0.5862
16.9641	-0.9517
17.2783	-0.0020
17.5924	0.9504
17.9065	0.5895
18.2207	-0.5860
18.5349	-0.9517
18.8490	-0.0022
19.1632	0.9504
19.4773	0.5896
19.7915	-0.5859
20.1056	-0.9518
20.4198	-0.0024
20.7339	0.9503
21.0481	0.5898
21.3622	-0.5857
21.6764	-0.9518
21.9905	-0.0026
22.3047	0.9502
22.6188	0.5899
22.9330	-0.5856
23.2471	-0.9519
23.5613	-0.0028
23.8754	0.9502
24.1896	0.5901
24.5037	-0.5854
24.8179	-0.9520
25.1320	-0.0030
